MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
311000854,2026-09-04T01:16:47,53.13,3.5,17.9,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T01:46:47,53.15,3.50167,17.8,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T02:16:47,53.17,3.50333,18.1,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T02:46:47,53.19,3.505,18.4,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T03:16:47,53.21,3.50667,17.7,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T03:46:47,53.23,3.50833,18.3,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T04:16:47,53.25,3.51,18.4,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T04:46:47,53.27,3.51167,18.3,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T05:16:47,53.29,3.51333,17.7,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T05:46:47,53.31,3.515,18.3,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T06:16:47,53.33,3.51667,18.4,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T06:46:47,53.35,3.51833,18.1,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
311000854,2026-09-04T07:16:47,53.37,3.52,18.1,4.8,4.8,MAERSK VISBY,IMO9312944,OU281,70,0,298,38,11.5,80
211442000,2026-09-04T01:16:47,53.3,3.31,12.3,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T01:46:47,53.30083,3.33167,12.2,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T02:16:47,53.30167,3.35333,12.1,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T02:46:47,53.3025,3.375,12.2,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T03:16:47,53.30333,3.39667,11.9,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T03:46:47,53.30417,3.41833,12.0,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T04:16:47,53.305,3.44,12.0,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T04:46:47,53.30583,3.46167,12.0,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T05:16:47,53.30667,3.48333,11.9,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T05:46:47,53.3075,3.505,11.8,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T06:16:47,53.30833,3.52667,12.0,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T06:46:47,53.30917,3.54833,11.8,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
211442000,2026-09-04T07:16:47,53.31,3.57,12.1,87.8,87.8,NORDIC TRAVELLER,IMO9621183,DK992,81,0,180,30,11.5,80
244670112,2026-09-04T01:16:47,53.21,3.33,9.3,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T01:46:47,53.20917,3.33833,9.2,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T02:16:47,53.20833,3.34667,9.3,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T02:46:47,53.2075,3.355,9.1,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T03:16:47,53.20667,3.36333,9.2,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T03:46:47,53.20583,3.37167,9.5,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T04:16:47,53.205,3.38,9.0,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T04:46:47,53.20417,3.38833,9.3,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T05:16:47,53.20333,3.39667,9.8,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T05:46:47,53.2025,3.405,9.9,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T06:16:47,53.20167,3.41333,9.5,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T06:46:47,53.20083,3.42167,9.5,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
244670112,2026-09-04T07:16:47,53.2,3.43,9.5,95.7,95.7,SEA TITAN,IMO9104432,PCEW,52,0,45,12,11.5,80
